營運日,星期,總 運 量 (單位：人次)
104/1/1, 四 ,"1,796,950"
104/1/2, 五 ,"1,830,184"
104/1/3, 六 ,"1,802,037"
104/1/4, 日 ,"1,585,463"
104/1/5, 一 ,"1,915,326"
104/1/6, 二 ,"1,945,591"
104/1/7, 三 ,"1,965,860"
104/1/8, 四 ,"1,987,913"
104/1/9, 五 ,"2,163,929"
104/1/10, 六 ,"1,897,089"
104/1/11, 日 ,"1,551,238"
104/1/12, 一 ,"1,935,793"
104/1/13, 二 ,"1,954,358"
104/1/14, 三 ,"1,969,032"
104/1/15, 四 ,"2,003,565"
104/1/16, 五 ,"2,212,934"
104/1/17, 六 ,"1,884,434"
104/1/18, 日 ,"1,631,624"
104/1/19, 一 ,"1,913,736"
104/1/20, 二 ,"2,012,293"
104/1/21, 三 ,"1,976,113"
104/1/22, 四 ,"1,992,942"
104/1/23, 五 ,"2,142,013"
104/1/24, 六 ,"1,901,482"
104/1/25, 日 ,"1,596,872"
104/1/26, 一 ,"1,904,495"
104/1/27, 二 ,"2,055,511"
104/1/28, 三 ,"2,022,619"
104/1/29, 四 ,"2,041,400"
104/1/30, 五 ,"2,148,037"
104/1/31, 六 ,"1,951,006"
