營運日,星期,總 運 量 (單位：人次)
104/6/1, 一 ,"1,924,451"
104/6/2, 二 ,"1,972,450"
104/6/3, 三 ,"2,021,093"
104/6/4, 四 ,"2,030,356"
104/6/5, 五 ,"2,232,110"
104/6/6, 六 ,"1,951,840"
104/6/7, 日 ,"1,602,443"
104/6/8, 一 ,"1,923,407"
104/6/9, 二 ,"1,957,916"
104/6/10, 三 ,"1,996,798"
104/6/11, 四 ,"2,007,356"
104/6/12, 五 ,"2,188,828"
104/6/13, 六 ,"2,001,983"
104/6/14, 日 ,"1,625,054"
104/6/15, 一 ,"1,949,529"
104/6/16, 二 ,"2,006,125"
104/6/17, 三 ,"2,021,431"
104/6/18, 四 ,"2,112,406"
104/6/19, 五 ,"1,548,038"
104/6/20, 六 ,"1,365,272"
104/6/21, 日 ,"1,406,174"
104/6/22, 一 ,"1,921,572"
104/6/23, 二 ,"1,963,001"
104/6/24, 三 ,"2,004,488"
104/6/25, 四 ,"2,055,584"
104/6/26, 五 ,"2,212,425"
104/6/27, 六 ,"1,933,774"
104/6/28, 日 ,"1,570,847"
104/6/29, 一 ,"1,962,023"
104/6/30, 二 ,"2,099,628"
