營運日,星期,總 運 量 (單位：人次)
104/3/1, 日 ,"1,715,067"
104/3/2, 一 ,"1,994,187"
104/3/3, 二 ,"2,054,679"
104/3/4, 三 ,"2,074,934"
104/3/5, 四 ,"2,081,005"
104/3/6, 五 ,"2,303,705"
104/3/7, 六 ,"2,165,069"
104/3/8, 日 ,"1,856,581"
104/3/9, 一 ,"1,976,908"
104/3/10, 二 ,"2,043,045"
104/3/11, 三 ,"2,074,794"
104/3/12, 四 ,"2,089,203"
104/3/13, 五 ,"2,277,913"
104/3/14, 六 ,"2,130,819"
104/3/15, 日 ,"1,752,420"
104/3/16, 一 ,"1,986,568"
104/3/17, 二 ,"2,023,027"
104/3/18, 三 ,"2,074,299"
104/3/19, 四 ,"2,074,453"
104/3/20, 五 ,"2,261,770"
104/3/21, 六 ,"1,996,906"
104/3/22, 日 ,"1,642,602"
104/3/23, 一 ,"1,955,818"
104/3/24, 二 ,"2,027,070"
104/3/25, 三 ,"2,075,806"
104/3/26, 四 ,"2,102,538"
104/3/27, 五 ,"2,306,849"
104/3/28, 六 ,"2,042,943"
104/3/29, 日 ,"1,723,325"
104/3/30, 一 ,"1,962,335"
104/3/31, 二 ,"2,001,689"
