營運日,星期,總 運 量 (單位：人次)
104/5/1, 五 ,"2,017,620"
104/5/2, 六 ,"1,985,334"
104/5/3, 日 ,"1,708,675"
104/5/4, 一 ,"2,021,378"
104/5/5, 二 ,"2,036,682"
104/5/6, 三 ,"2,022,455"
104/5/7, 四 ,"2,032,029"
104/5/8, 五 ,"2,224,602"
104/5/9, 六 ,"1,850,816"
104/5/10, 日 ,"1,514,055"
104/5/11, 一 ,"1,936,196"
104/5/12, 二 ,"1,979,123"
104/5/13, 三 ,"1,991,817"
104/5/14, 四 ,"2,000,535"
104/5/15, 五 ,"2,247,198"
104/5/16, 六 ,"1,997,653"
104/5/17, 日 ,"1,716,639"
104/5/18, 一 ,"1,930,446"
104/5/19, 二 ,"1,965,127"
104/5/20, 三 ,"1,990,712"
104/5/21, 四 ,"2,021,880"
104/5/22, 五 ,"2,201,210"
104/5/23, 六 ,"1,979,735"
104/5/24, 日 ,"1,635,157"
104/5/25, 一 ,"2,005,654"
104/5/26, 二 ,"1,986,520"
104/5/27, 三 ,"2,006,424"
104/5/28, 四 ,"2,011,965"
104/5/29, 五 ,"2,183,427"
104/5/30, 六 ,"1,941,473"
104/5/31, 日 ,"1,619,120"
