營運日,星期,總 運 量 (單位：人次)
104/4/1, 三 ,"2,048,305"
104/4/2, 四 ,"2,158,720"
104/4/3, 五 ,"1,769,724"
104/4/4, 六 ,"1,674,820"
104/4/5, 日 ,"1,510,349"
104/4/6, 一 ,"1,579,297"
104/4/7, 二 ,"1,983,465"
104/4/8, 三 ,"2,028,915"
104/4/9, 四 ,"2,061,803"
104/4/10, 五 ,"2,275,422"
104/4/11, 六 ,"1,966,373"
104/4/12, 日 ,"1,656,018"
104/4/13, 一 ,"1,968,264"
104/4/14, 二 ,"2,003,426"
104/4/15, 三 ,"2,025,021"
104/4/16, 四 ,"2,014,753"
104/4/17, 五 ,"2,188,779"
104/4/18, 六 ,"1,958,707"
104/4/19, 日 ,"1,618,031"
104/4/20, 一 ,"1,929,198"
104/4/21, 二 ,"1,954,680"
104/4/22, 三 ,"1,997,117"
104/4/23, 四 ,"2,000,629"
104/4/24, 五 ,"2,201,347"
104/4/25, 六 ,"2,016,736"
104/4/26, 日 ,"1,693,935"
104/4/27, 一 ,"1,941,963"
104/4/28, 二 ,"1,984,661"
104/4/29, 三 ,"2,019,740"
104/4/30, 四 ,"2,102,457"
